year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2015,74,82,Belgian-Style Witbier,Allagash White,Allagash Brewing Co.,Portland,ME,White Rascal,Avery Brewing Co.,Boulder,CO,Optimal Wit,Port City Brewing Co.,Alexandria,VA
2015,75,132,French- and Belgian-Style Saison,Siren’s Lure,Fair Winds Brewing Co.,Lorton,VA,Daily Wages,Brasserie Saint James,Reno,NV,Saison,URBN St. Brewing Co.,El Cajon,CA
2015,76,47,Belgian- and French-Style Ale,Vintage Monks,Adelbert’s Brewery,Austin,TX,Grisette,Sly Fox Brewing Co.,Pottstown,PA,Petite Classique,The Commons Brewery,Portland,OR
2015,77,78,Belgian-Style Lambic or Sour Ale,"Turbulent Consequence, Peche",Block 15,Corvallis,OR,Feral One,Firestone Walker Barrelworks,Buellton,CA,Viejo Rojo,Tahoe Mountain Brewing Co. - Truckee,Truckee,CA
2015,78,60,Belgian-Style Dubbel or Quadruple,Sanitarium,Bier Brewery and Taproom,Indianapolis,IN,Dubbel Entendre,River’s Edge Brewing Co.,Milford,MI,Qualified,Taxman Brewing Co.,Bargersville,IN
2015,79,52,Belgian-Style Tripel,Wild West Tripel,Chicago Brewing Co. - NV,Las Vegas,NV,Allagash Tripel,Allagash Brewing Co.,Portland,ME,Millennium Trippel,Church Brew Works - Lawrenceville Brewery,Pittsburgh,PA
2015,80,65,Belgian-Style Strong Specialty Ale,Van Dammit,Jailbreak Brewing Co.,Laurel,MD,The Cannibal,Iron Hill Brewery & Restaurant - Chestnut Hill,Philadelphia,PA,Quad Damn It,Chicago Brewing Co. - NV,Las Vegas,NV
2015,81,45,Other Belgian-Style Ale,Spangalang Table Beer,Spangalang Brewery,Denver,CO,Summer Rye Ale,Mayflower Brewing Co.,Plymouth,MA,Witty Moron,Stone Brewing World Bistro & Gardens - Liberty Station,San Diego,CA
2015,82,57,Brown Porter,Disaster at Meux,Lion Bridge Brewing Co.,Cedar Rapids,IA,Peter Brown Tribute Ale,Bear Republic Brewing Co. - Factory 5,Cloverdale,CA,Black Jack Porter,Left Hand Brewing Co.,Longmont,CO
2015,83,102,Robust Porter,Recalcitrant Dockhand,Black Star Co-op,Austin,TX,Porter,Port City Brewing Co.,Alexandria,VA,Night Watchman,City Star Brewing,Berthoud,CO
