year,style,medal,beer,brewery,city,state
2000,American-Style Premium Lager,bronze,New South Lager Beer,New South Brewing,Myrtle Beach,SC
2000,Classic English-Style Pale Ale,gold,Custer's Last Ale,Snake River Brewing,Jackson,WY
2000,Classic English-Style Pale Ale,silver,Pick Axe Pale Ale,Tommyknocker Brewery,Idaho Springs,CO
2000,Classic English-Style Pale Ale,bronze,New South Pale Ale,New South Brewing,Myrtle Beach,SC
2000,American-Style Specialty Lager,gold,Bull Ice,Schlitz Brewing,Fogelsville,PA
2000,American-Style Specialty Lager,silver,St. Ides Malt Liquor,St. Ides Brewing,Fogelsville,PA
2000,American-Style Specialty Lager,bronze,Scrimshaw Beer,North Coast Brewing,Fort Bragg,CA
2000,American-Style India Pale Ale,gold,IPA,SLO Brewing,San Luis Obispo,CA
2000,American-Style India Pale Ale,silver,Torrey Pines IPA,Stuft Pizza & Brewing Co.,San Diego,CA
2000,American-Style India Pale Ale,bronze,Hoptown IPA,Hoptown Brewing,Pleasanton,CA
2000,Robust Porter,gold,Lazy Jake Porter,Long Valley Pub,Long Valley,NJ
2000,Robust Porter,silver,Robust Porter,Crooked River Brewing,Cleveland,OH
2000,Robust Porter,bronze,Lucknow Porter,Castle Springs Brewing,Moultonborough,NH
2000,Oatmeal Stout,gold,Main Line Oatmeal Stout,John Harvard's Brew House,Framingham,MA
2000,Oatmeal Stout,silver,Oatmeal Stout,SLO Brewing,San Luis Obispo,CA
2000,Oatmeal Stout,bronze,Black H20 Oatmeal Stout,Minneapolis Town Hall Brewery,Minneapolis,MN
2000,Barley Wine-Style Ale,gold,Old No. 27 Barley Wine,Delafield Brewhaus,Delafield,WI
2000,Barley Wine-Style Ale,silver,Stone Old Guardian,Stone Brewing,San Marcos,CA
2000,Barley Wine-Style Ale,bronze,Blunderbuss Barleywine,Cambridge Brewing,Cambridge,MA
2000,Irish-Style Red Ale,gold,Jurupa Valley Red Ale,Jurupa Valley Brewing Co.,Riverside,CA
2000,Irish-Style Red Ale,silver,Raptor Red,Rock Bottom,Phoenix,AZ
2000,Irish-Style Red Ale,bronze,Badger Red Ale,J.T. Whitney's Pub & Brewery,Madison,WI
2000,German-Style Märzen / Oktoberfest,gold,Red Oktober,Salem Beer Works,Salem,MA
2000,German-Style Märzen / Oktoberfest,silver,Great Dane Oktoberfest,The Great Dane Pub,Madison,WI
2000,German-Style Märzen / Oktoberfest,bronze,Bittings Bad Boy,J.J. Bitting Brewing Co.,Woodbridge,NJ
2000,American-Style Wheat Ale or Lager,gold,High Rollers Wheat Beer,Anderson Valley Brewing,Boonville,CA
2000,American-Style Wheat Ale or Lager,silver,Weiss Guy Wheat,Alcatraz Brewing Co.,Littleton,CO
2000,American-Style Wheat Ale or Lager,bronze,Choc,Pete's Place,Krebs,OK
2000,Bock,gold,Framingham Bock,John Harvard's Brew House,Boston,MA
2000,Bock,silver,Mad Brewer Maibock,Church Brew Works,Pittsburgh,PA
2000,Bock,bronze,Maibock,Iron Hill Brewery,Newark,DE
2000,Munich-Style Helles,gold,Golden Eagle Lager,Rocky River Brewing,Sevierville,TN
2000,Munich-Style Helles,silver,Helles or High Water,Brewzzi,Boca Raton,FL
2000,Munich-Style Helles,bronze,Lodestone Lager,Iron Hill Brewery,Media,PA
2000,American-Style Lager/Ale or Cream Ale,gold,California Gold,Stuft Pizza & Brewing Co.,San Diego,CA
2000,American-Style Lager/Ale or Cream Ale,silver,Lodgepole Light,Prescott Brewing,Prescott,AZ
2000,American-Style Lager/Ale or Cream Ale,bronze,Lucknow Blonde Ale,Castle Springs Brewing,Moultonborough,NH
2000,English-Style Bitter,gold,Cutthroat Ale,Uinta Brewing,Salt Lake City,UT
2000,English-Style Bitter,silver,8th Street Ale,Four Peaks Brewing,Tempe,AZ
2000,English-Style Bitter,bronze,Long Valley Best Bitter,Long Valley Pub,Long Valley,NJ
2000,American-Style Amber Lager,gold,Steam Engine Steam,Steamworks Brewing,Durango,CO
2000,American-Style Amber Lager,silver,,,,
2000,American-Style Amber Lager,bronze,,,,
2000,Classic Irish-Style Dry Stout,gold,Murphy's Dry Stout,Humperdinks Big Horn Brewing,Lakewood,WA
2000,Classic Irish-Style Dry Stout,silver,Black Magic Stout,Empire Brewing Co. of Rochester,Rochester,NY
2000,Classic Irish-Style Dry Stout,bronze,Dark Starr Stout,Starr Hill Brewing,Charlottesville,VA
2000,Brown Porter,gold,Black Jack Porter,Left Hand Brewing Co.,Longmont,CO
2000,Brown Porter,silver,Sweetwater Exodus Porter,Sweetwater Brewing,Atlanta,GA
2000,Brown Porter,bronze,Sierra Nevada Porter,Sierra Nevada Brewing,Chico,CA
2000,American-Style Light Lager,gold,Bud Light,Anheuser-Busch,St. Louis,MO
2000,American-Style Light Lager,silver,Stroh Light,Stroh Brewery,Fogelsville,PA
2000,American-Style Light Lager,bronze,Schaefer Light,Schaefer Brewing,Fogelsville,PA
2000,European-Style Dark / Münchner,gold,Black Forest,Valhalla Microbrewery,Pittsburgh,PA
2000,European-Style Dark / Münchner,silver,Slam Dunkel,Great Basin Brewing,Sparks,NV
2000,European-Style Dark / Münchner,bronze,,,,
2000,American-Style Dark Lager,gold,H. Saxer Dark Lager,Portland Brewing,Portland,OR
2000,American-Style Dark Lager,silver,Henry Weinhard's Dark,Blitz-Weinhard Brewing,Tumwater,WA
2000,American-Style Dark Lager,bronze,Michelob Amber Bock,Anheuser-Busch,St. Louis,MO
2000,Non-Alcoholic (Beer) Malt Beverages,gold,,,,
2000,Non-Alcoholic (Beer) Malt Beverages,silver,Pabst NA,Pabst Brewing,Fogelsville,PA
2000,Non-Alcoholic (Beer) Malt Beverages,bronze,O'Doul's Amber,Anheuser-Busch,St. Louis,MO
